description,label
ESSELUNGA MILANO,Alimentari
PAGAMENTO BANCOMAT LIDL,Alimentari
CARREFOUR EXPRESS ROMA,Alimentari
COOP ADRIATICA BOLOGNA,Alimentari
CONAD CITY FIRENZE,Alimentari
SUPERMERCATO PAM VENEZIA,Alimentari
EUROSPIN SICILIA CATANIA,Alimentari
SPESA SETTIMANALE ESSELUNGA,Alimentari
SCONTRINO CARREFOUR MARKET,Alimentari
DESPAR TORINO,Alimentari
IPERCOOP MODENA,Alimentari
TIGROS VARESE,Alimentari
PAGAMENTO POS BENNET,Alimentari
AUCHAN CASERTA,Alimentari
IPER LA GRANDE I,Alimentari
MD DISCOUNT VERONA,Alimentari
IN'S MERCATO,Alimentari
PENNY MARKET GENOVA,Alimentari
ALDI ITALIA,Alimentari
MARKET DECO,Alimentari
VIRGIN ACTIVE MILANO CORSO COMO,Wellness
MCFIT PALESTRA ROMA,Wellness
ABBONAMENTO MENSILE PALESTRA,Wellness
FARMACIA COMUNALE 24H,Wellness
PARAFARMACIA DR. MAX,Wellness
MYPROTEIN.COM ORDER,Wellness
DECATHLON MILANO CAIROLI,Wellness
CENTRO MEDICO SANTAGOSTINO,Wellness
NUTRIZIONISTA DOTT.SSA BIANCHI,Wellness
VISITA OCULISTICA PRIVATA,Wellness
STUDIO DENTISTICO ROSSI,Wellness
PAGAMENTO POS FARMACIA,Wellness
INTEGRATORI SPORTIVI DECATHLON,Wellness
FITNESS FIRST ABBONAMENTO,Wellness
ESAME DEL SANGUE LABORATORIO,Wellness
CORSO DI YOGA ONLINE,Wellness
PISCINA COMUNALE INGRESSO,Wellness
FISIOTERAPIA SEDUTA,Wellness
ERBORISTERIA L'ERBOLARIO,Wellness
LIFEGATE WELLNESS,Wellness
AMAZON.IT RETAIL,Shopping
ZALANDO PAYMENTS SE,Shopping
EBAY PAYMENTS,Shopping
TEMU.COM INTERNATIONAL,Shopping
SHEIN.COM ORDER,Shopping
IKEA ITALIA RETAIL,Shopping
H&M MILANO DUOMO,Shopping
ZARA ONLINE STORE,Shopping
MANGO ABBIGLIAMENTO,Shopping
APPLE STORE MILANO,Shopping
MEDIAWORLD ELETTRONICA,Shopping
UNIEURO ONLINE,Shopping
PAGAMENTO POS FNAC,Shopping
DECATHLON SHOPPING,Shopping
ASOS.COM FASHION,Shopping
YOOK NET-A-PORTER,Shopping
ADIDAS OFFICIAL STORE,Shopping
NIKE.COM ORDER,Shopping
MAISONS DU MONDE,Shopping
LEROY MERLIN FAI DA TE,Shopping
ENI STATION MILANO,Trasporti
SHELL FUEL ITALY,Trasporti
Q8 EASY SELF SERVICE,Trasporti
TRENITALIA AG. VIAGGIO,Trasporti
ITALO TRENO BIGLIETTI,Trasporti
UBER TRIP LONDON,Trasporti
TAXI MILANO 026969,Trasporti
BIGLIETTO ATM MILANO,Trasporti
ABBONAMENTO GTT TORINO,Trasporti
ATAC ROMA BIGLIETTERIA,Trasporti
FREENOW TAXI APP,Trasporti
AUTOSTRADE PER L'ITALIA PEDAGGIO,Trasporti
PAGAMENTO PARCHEGGIO BLU,Trasporti
RICARICA ENEL X MOBILITY,Trasporti
TESLA SUPERCHARGER,Trasporti
FLIXBUS TICKETS,Trasporti
AIR FRANCE TICKETS,Trasporti
RYANAIR BOOKING,Trasporti
EASYJET FLIGHT,Trasporti
TRIPADVISOR BOOKING,Trasporti
NETFLIX.COM SUBSCRIPTION,Abbonamenti
SPOTIFY PREMIUM ITALY,Abbonamenti
DISNEY PLUS MONTHLY,Abbonamenti
DAZN LTD STREAMING,Abbonamenti
PRIME VIDEO CHANNEL,Abbonamenti
APPLE.COM/BILL SUBSCRIPTION,Abbonamenti
YOUTUBE PREMIUM,Abbonamenti
GOOGLE ONE STORAGE,Abbonamenti
MICROSOFT 365 OFFICE,Abbonamenti
ADOBE CREATIVE CLOUD,Abbonamenti
PLAYSTATION NETWORK PSN,Abbonamenti
XBOX GAME PASS,Abbonamenti
AUDIBLE.IT AMAZON,Abbonamenti
NEW YORK TIMES DIGITAL,Abbonamenti
CORRIERE DELLA SERA DIGITAL,Abbonamenti
CHILI TV NOLEGGIO,Abbonamenti
RAIPLAY PREMIUM,Abbonamenti
